2020-12-31 11:47:16.030 DEBUG 30646 --- [main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: unknown
2020-12-31 11:47:16.147  INFO 30646 --- [main] c.e.apidemo.ApiddemoApplicationTests     : Starting ApiddemoApplicationTests on DOWONui-MacBookPro.local with PID 30646 (started by dowonlee in /Users/dowonlee/Desktop/git/cloudcomputing/apidemo)
2020-12-31 11:47:16.148 DEBUG 30646 --- [main] c.e.apidemo.ApiddemoApplicationTests     : Running with Spring Boot v2.2.4.RELEASE, Spring v5.2.3.RELEASE
2020-12-31 11:47:16.149  INFO 30646 --- [main] c.e.apidemo.ApiddemoApplicationTests     : No active profile set, falling back to default profiles: default
2020-12-31 11:47:16.149 DEBUG 30646 --- [main] o.s.boot.SpringApplication               : Loading source class com.example.apidemo.ApiddemoApplication
2020-12-31 11:47:16.181 DEBUG 30646 --- [main] o.s.b.c.c.ConfigFileApplicationListener  : Loaded config file 'file:/Users/dowonlee/Desktop/git/cloudcomputing/apidemo/target/classes/application.yml' (classpath:/application.yml)
2020-12-31 11:47:16.182 DEBUG 30646 --- [main] o.s.w.c.s.GenericWebApplicationContext   : Refreshing org.springframework.web.context.support.GenericWebApplicationContext@740abb5
2020-12-31 11:47:16.205 DEBUG 30646 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2020-12-31 11:47:16.222 DEBUG 30646 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2020-12-31 11:47:16.259 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/dowonlee/Desktop/git/cloudcomputing/apidemo/target/classes/com/example/apidemo/config/SwaggerConfig.class]
2020-12-31 11:47:16.260 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/dowonlee/Desktop/git/cloudcomputing/apidemo/target/classes/com/example/apidemo/config/WebMvcConfig.class]
2020-12-31 11:47:16.272 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/dowonlee/Desktop/git/cloudcomputing/apidemo/target/classes/com/example/apidemo/controller/BlogController.class]
2020-12-31 11:47:16.275 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/dowonlee/Desktop/git/cloudcomputing/apidemo/target/classes/com/example/apidemo/service/BlogService.class]
2020-12-31 11:47:16.300 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/dowonlee/.m2/repository/io/springfox/springfox-swagger2/2.9.2/springfox-swagger2-2.9.2.jar!/springfox/documentation/swagger2/mappers/ServiceModelToSwagger2MapperImpl.class]
2020-12-31 11:47:16.301 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/dowonlee/.m2/repository/io/springfox/springfox-swagger2/2.9.2/springfox-swagger2-2.9.2.jar!/springfox/documentation/swagger2/mappers/VendorExtensionsMapperImpl.class]
2020-12-31 11:47:16.308 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/dowonlee/.m2/repository/io/springfox/springfox-swagger2/2.9.2/springfox-swagger2-2.9.2.jar!/springfox/documentation/swagger2/mappers/ParameterMapperImpl.class]
2020-12-31 11:47:16.311 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/dowonlee/.m2/repository/io/springfox/springfox-swagger2/2.9.2/springfox-swagger2-2.9.2.jar!/springfox/documentation/swagger2/mappers/ModelMapperImpl.class]
2020-12-31 11:47:16.313 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/dowonlee/.m2/repository/io/springfox/springfox-swagger2/2.9.2/springfox-swagger2-2.9.2.jar!/springfox/documentation/swagger2/mappers/LicenseMapperImpl.class]
2020-12-31 11:47:16.315 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/dowonlee/.m2/repository/io/springfox/springfox-swagger2/2.9.2/springfox-swagger2-2.9.2.jar!/springfox/documentation/swagger2/mappers/SecurityMapperImpl.class]
2020-12-31 11:47:16.337 DEBUG 30646 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/dowonlee/.m2/repository/io/springfox/springfox-spring-web/2.9.2/springfox-spring-web-2.9.2.jar!/springfox/documentation/spring/web/scanners/ApiListingReferenceScanner.class]
